# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x100000028 | 16 | ASCII | __PAGEZERO
0x100000070 | 16 | ASCII | __TEXT
0x1000000b0 | 16 | ASCII | __text
0x1000000c0 | 16 | ASCII | __TEXT
0x100000100 | 16 | ASCII | __stubs
0x100000110 | 16 | ASCII | __TEXT
0x100000150 | 16 | ASCII | __stub_helper
0x100000160 | 16 | ASCII | __TEXT
0x1000001a0 | 16 | ASCII | __const
0x1000001b0 | 16 | ASCII | __TEXT
0x1000001f0 | 16 | ASCII | __gcc_except_tab
0x100000200 | 16 | ASCII | __TEXT
0x100000240 | 16 | ASCII | __objc_methname
0x100000250 | 16 | ASCII | __TEXT
0x100000290 | 16 | ASCII | __cstring
0x1000002a0 | 16 | ASCII | __TEXT
0x1000002e0 | 16 | ASCII | __objc_classname
0x1000002f0 | 16 | ASCII | __TEXT
0x100000330 | 16 | ASCII | __objc_methtype
0x100000340 | 16 | ASCII | __TEXT
0x100000380 | 16 | ASCII | __ustring
0x100000390 | 16 | ASCII | __TEXT
0x1000003d0 | 16 | ASCII | __unwind_info
0x1000003e0 | 16 | ASCII | __TEXT
0x100000420 | 16 | ASCII | __eh_frame
0x100000430 | 16 | ASCII | __TEXT
0x100000478 | 16 | ASCII | __DATA
0x1000004b8 | 16 | ASCII | __got
0x1000004c8 | 16 | ASCII | __DATA
0x100000508 | 16 | ASCII | __la_symbol_ptr
0x100000518 | 16 | ASCII | __DATA
0x100000558 | 16 | ASCII | __const
0x100000568 | 16 | ASCII | __DATA
0x1000005a8 | 16 | ASCII | __cfstring
0x1000005b8 | 16 | ASCII | __DATA
0x1000005f8 | 16 | ASCII | __objc_classlist
0x100000608 | 16 | ASCII | __DATA
0x100000648 | 16 | ASCII | __objc_nlclslist
0x100000658 | 16 | ASCII | __DATA
0x100000698 | 16 | ASCII | __objc_catlist
0x1000006a8 | 16 | ASCII | __DATA
0x1000006e8 | 16 | ASCII | __objc_nlcatlist
0x1000006f8 | 16 | ASCII | __DATA
0x100000738 | 16 | ASCII | __objc_protolist
0x100000748 | 16 | ASCII | __DATA
0x100000788 | 16 | ASCII | __objc_imageinfo
0x100000798 | 16 | ASCII | __DATA
0x1000007d8 | 16 | ASCII | __objc_const
0x1000007e8 | 16 | ASCII | __DATA
0x100000828 | 16 | ASCII | __objc_selrefs
0x100000838 | 16 | ASCII | __DATA
0x100000878 | 16 | ASCII | __objc_protorefs
0x100000888 | 16 | ASCII | __DATA
0x1000008c8 | 16 | ASCII | __objc_classrefs
0x1000008d8 | 16 | ASCII | __DATA
0x100000918 | 16 | ASCII | __objc_superrefs
0x100000928 | 16 | ASCII | __DATA
0x100000968 | 16 | ASCII | __objc_ivar
0x100000978 | 16 | ASCII | __DATA
0x1000009b8 | 16 | ASCII | __objc_data
0x1000009c8 | 16 | ASCII | __DATA
0x100000a08 | 16 | ASCII | __data
0x100000a18 | 16 | ASCII | __DATA
0x100000a58 | 16 | ASCII | __bss
0x100000a68 | 16 | ASCII | __DATA
0x100000aa8 | 16 | ASCII | __common
0x100000ab8 | 16 | ASCII | __DATA
0x100000b00 | 16 | ASCII | __RESTRICT
0x100000b40 | 16 | ASCII | __restrict
0x100000b50 | 16 | ASCII | __RESTRICT
0x100000b98 | 16 | ASCII | __LINKEDIT
0x100000c7c | 14 | ASCII | /usr/lib/dyld
0x100000d20 | 60 | ASCII | /System/Library/Frameworks/IOKit.framework/Versions/A/IOKit
0x100000d78 | 71 | ASCII | /System/Library/Frameworks/NetworkExtension.framework/NetworkExtension
0x100000dd8 | 85 | ASCII | /System/Library/Frameworks/AppTrackingTransparency.framework/AppTrackingTransparency
0x100000e48 | 26 | ASCII | /usr/lib/libsqlite3.dylib
0x100000e80 | 66 | ASCII | /System/Library/PrivateFrameworks/AppSupport.framework/AppSupport
0x100000ee0 | 76 | ASCII | /System/Library/PrivateFrameworks/IntlPreferences.framework/IntlPreferences
0x100000f48 | 77 | ASCII | /System/Library/Frameworks/SystemConfiguration.framework/SystemConfiguration
0x100000fb0 | 22 | ASCII | /usr/lib/libz.1.dylib
0x100000fe0 | 65 | ASCII | /System/Library/Frameworks/CoreTelephony.framework/CoreTelephony
0x100001040 | 55 | ASCII | /System/Library/Frameworks/Security.framework/Security
0x100001090 | 40 | ASCII | @executable_path/libMobileGestalt.dylib
0x1000010d0 | 59 | ASCII | /System/Library/Frameworks/Foundation.framework/Foundation
0x100001128 | 25 | ASCII | /usr/lib/libobjc.A.dylib
0x100001160 | 24 | ASCII | /usr/lib/libc++.1.dylib
0x100001190 | 27 | ASCII | /usr/lib/libSystem.B.dylib
0x1000011c8 | 57 | ASCII | /System/Library/Frameworks/AdSupport.framework/AdSupport
0x100001220 | 57 | ASCII | /System/Library/Frameworks/CFNetwork.framework/CFNetwork
0x100001278 | 67 | ASCII | /System/Library/Frameworks/CoreFoundation.framework/CoreFoundation
0x1000012d8 | 63 | ASCII | /System/Library/Frameworks/CoreGraphics.framework/CoreGraphics
0x100001330 | 57 | ASCII | /System/Library/Frameworks/MessageUI.framework/MessageUI
0x100001388 | 59 | ASCII | /System/Library/Frameworks/QuartzCore.framework/QuartzCore
0x1000013e0 | 49 | ASCII | /System/Library/Frameworks/UIKit.framework/UIKit
0x100001424 | 28 | ASCII | @executable_path/Frameworks
0x10079a577 | 12 | ASCII | W	\HXR_E_PZ\
0x10079a584 | 5 | ASCII | H\VPW
0x10079a58c | 9 | ASCII | `[P+YSZ}
0x10079a6f0 | 65 | ASCII | ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
0x10079c0ac | 8 | ASCII | Browse:
0x10079c0b4 | 20 | ASCII | AirPlaneDelaySecond
0x10079c0c8 | 16 | ASCII | CreateZipFile2:
0x10079c0d8 | 12 | ASCII | CGRectValue
