# Total Pointers Found: 5573
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 5573
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
2F2C | __text | 3DC00 | off_3DC00 | data_pointer | data_item_size=8
2F34 | __text | 3DC00 | off_3DC00 | data_pointer | data_item_size=8
2F80 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
2FB0 | __text | 37E90 | cfstr_CouldNotOpenSS | struct_pointer | struct_data
2FE4 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
3014 | __text | 37EB0 | cfstr_CouldNotFstatS | struct_pointer | struct_data
3068 | __text | 1C040 | _kCFAllocatorDefault_ptr | data_pointer | data_item_size=8
306C | __text | 1C040 | _kCFAllocatorDefault_ptr | data_pointer | data_item_size=8
306C | __text | 3DE00 | _kCFAllocatorDefault | data_pointer | data_item_size=8
3070 | __text | 3DE00 | _kCFAllocatorDefault | data_pointer | data_item_size=8
3074 | __text | 1C050 | _kCFAllocatorNull_ptr | data_pointer | data_item_size=8
3078 | __text | 1C050 | _kCFAllocatorNull_ptr | data_pointer | data_item_size=8
3078 | __text | 3DE10 | _kCFAllocatorNull | data_pointer | data_item_size=8
307C | __text | 3DE10 | _kCFAllocatorNull | data_pointer | data_item_size=8
30E4 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
3114 | __text | 37EF0 | cfstr_CouldNotReadSS | struct_pointer | struct_data
3168 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
3184 | __text | 37F50 | cfstr_FileContentsAr | struct_pointer | struct_data
31C0 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
31DC | __text | 37ED0 | cfstr_CouldNotMalloc | struct_pointer | struct_data
31F0 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
320C | __text | 37F10 | cfstr_CouldNotCreate | struct_pointer | struct_data
3220 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
3244 | __text | 37F30 | cfstr_CouldNotCreate_0 | struct_pointer | struct_data
3284 | __text | 1C040 | _kCFAllocatorDefault_ptr | data_pointer | data_item_size=8
3288 | __text | 1C040 | _kCFAllocatorDefault_ptr | data_pointer | data_item_size=8
