# Total Pointers Found: 278
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 278
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
2AB8 | __text | 40C0 | __ZL12sGlobalMutex | unknown_pointer | 
2AC4 | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2AC8 | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2AD0 | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2AEC | __text | 40C0 | __ZL12sGlobalMutex | unknown_pointer | 
2AF8 | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2AFC | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2B04 | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2B20 | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2B24 | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2B2C | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2B30 | __text | 40C0 | __ZL12sGlobalMutex | unknown_pointer | 
2B4C | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2B50 | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2B58 | __text | 4290 | __dyld_global_lock_held | data_pointer | data_item_size=4
2B5C | __text | 40C0 | __ZL12sGlobalMutex | unknown_pointer | 
2BDC | __text | 4000 | _myDyldSection | unknown_pointer | 
2BE4 | __text | 4008 | off_4008 | data_pointer | data_item_size=8
2C04 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
2C0C | __text | 41B8 | qword_41B8 | data_pointer | data_item_size=8
2C18 | __text | 41B8 | qword_41B8 | data_pointer | data_item_size=8
2CE0 | __text | 3EFA | aLib | string_pointer | "lib"
2D20 | __text | 3EFE | aDylib | string_pointer | ".dylib"
2D58 | __text | 3EFE | aDylib | string_pointer | ".dylib"
2DA4 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
2DAC | __text | 41D8 | off_41D8 | data_pointer | data_item_size=8
2DB4 | __text | 41D8 | off_41D8 | data_pointer | data_item_size=8
2DB8 | __text | 3CB0 | aDyldImageCount | string_pointer | "__dyld_image_count"
