# Total Pointers Found: 290
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 290
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
43D8 | __text | 7590 | __OSSpinLockLockSlow$VARIANT$mp | function_pointer | function_start
43E0 | __text | 78F4 | __OSSpinLockLockSlow$VARIANT$wfe | function_pointer | function_start
446C | __text | 4420 | xmmword_4420 | data_pointer | data_item_size=16
45E8 | __text | 44E0 | xmmword_44E0 | data_pointer | data_item_size=16
4624 | __text | 8000 | _mach_task_self__ptr | data_pointer | data_item_size=8
4628 | __text | 8000 | _mach_task_self__ptr | data_pointer | data_item_size=8
4628 | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
462C | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
46A8 | __text | 4660 | xmmword_4660 | data_pointer | data_item_size=16
46AC | __text | 4660 | xmmword_4660 | data_pointer | data_item_size=16
4738 | __text | 4660 | xmmword_4660 | data_pointer | data_item_size=16
473C | __text | 4660 | xmmword_4660 | data_pointer | data_item_size=16
4874 | __text | 47A0 | xmmword_47A0 | data_pointer | data_item_size=16
48E0 | __text | 48A0 | xmmword_48A0 | data_pointer | data_item_size=16
48E4 | __text | 48A0 | xmmword_48A0 | data_pointer | data_item_size=16
4BA8 | __text | 8008 | _sigprocmask_ptr | data_pointer | data_item_size=8
4BAC | __text | 8008 | _sigprocmask_ptr | data_pointer | data_item_size=8
4BAC | __text | 8160 | _sigprocmask | unknown_pointer | 
4BF0 | __text | 8008 | _sigprocmask_ptr | data_pointer | data_item_size=8
4BF4 | __text | 8008 | _sigprocmask_ptr | data_pointer | data_item_size=8
4BF4 | __text | 8160 | _sigprocmask | unknown_pointer | 
4D3C | __text | 7ECC | aAslDisable | string_pointer | "ASL_DISABLE"
4D4C | __text | 7ED8 | a1 | string_pointer | "1"
4D5C | __text | 8138 | __MergedGlobals27 | data_pointer | data_item_size=1
4D68 | __text | 8138 | __MergedGlobals27 | data_pointer | data_item_size=1
4D7C | __text | 8110 | __MergedGlobals | data_pointer | data_item_size=8
4D84 | __text | 7F6B | aUnknown | string_pointer | "unknown"
4D84 | __text | 8110 | __MergedGlobals | data_pointer | data_item_size=8
509C | __text | 50BC | __os_alloc | function_pointer | function_start
50E4 | __text | 8148 | __os_alloc_heap | data_pointer | data_item_size=8
50E8 | __text | 8148 | __os_alloc_heap | data_pointer | data_item_size=8
5188 | __text | 8000 | _mach_task_self__ptr | data_pointer | data_item_size=8
518C | __text | 8000 | _mach_task_self__ptr | data_pointer | data_item_size=8
518C | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
5190 | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
51CC | __text | 8148 | __os_alloc_heap | data_pointer | data_item_size=8
51D8 | __text | 8148 | __os_alloc_heap | data_pointer | data_item_size=8
51E8 | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
521C | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
522C | __text | 8148 | __os_alloc_heap | data_pointer | data_item_size=8
5238 | __text | 8148 | __os_alloc_heap | data_pointer | data_item_size=8
