# Total Pointers Found: 1054
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 1054
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
1E44 | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
1E48 | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
1F90 | __text | 22084 | __task_reply_port | data_pointer | data_item_size=4
1F94 | __text | 22084 | __task_reply_port | data_pointer | data_item_size=4
1FAC | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
1FB4 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
1FD0 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
20A0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
20A8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
23A8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
23B0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
24CC | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
24D4 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
2548 | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
2550 | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
256C | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
2574 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
25A8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
25B0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
277C | __text | 22018 | _NDR_record | struct_pointer | struct_data
2784 | __text | 22018 | _NDR_record | struct_pointer | struct_data
28DC | __text | 22018 | _NDR_record | struct_pointer | struct_data
28E4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
2B04 | __text | 22018 | _NDR_record | struct_pointer | struct_data
2B0C | __text | 22018 | _NDR_record | struct_pointer | struct_data
2C94 | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
2C9C | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
2CA4 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
2CAC | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
2D94 | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
2D98 | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
2EC8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
2EE4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
30B4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
30BC | __text | 22018 | _NDR_record | struct_pointer | struct_data
3220 | __text | 32F8 | jpt_324C | data_pointer | data_item_size=4
322C | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
32C8 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
32F8 | __text | 3250 | loc_3250 | code_pointer | inside__mach_msg_destroy
32FC | __text | 3260 | loc_3260 | code_pointer | inside__mach_msg_destroy
3300 | __text | 3278 | loc_3278 | code_pointer | inside__mach_msg_destroy
3304 | __text | 32D0 | loc_32D0 | code_pointer | inside__mach_msg_destroy
333C | __text | 33D0 | jpt_334C | data_pointer | data_item_size=4
3350 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
3358 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
3360 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
3368 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
337C | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
3384 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
3398 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
33A0 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
33B4 | __text | 22080 | _mach_task_self_ | data_pointer | data_item_size=4
33D0 | __text | 3360 | loc_3360 | code_pointer | inside__mach_msg_destroy_port
33D4 | __text | 3350 | loc_3350 | code_pointer | inside__mach_msg_destroy_port
33D8 | __text | 3350 | loc_3350 | code_pointer | inside__mach_msg_destroy_port
33DC | __text | 33C0 | def_334C | code_pointer | inside__mach_msg_destroy_port
33E0 | __text | 337C | loc_337C | code_pointer | inside__mach_msg_destroy_port
33E4 | __text | 3398 | loc_3398 | code_pointer | inside__mach_msg_destroy_port
33E8 | __text | 22090 | _errno | data_pointer | data_item_size=4
33EC | __text | 22090 | _errno | data_pointer | data_item_size=4
350C | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
3510 | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
3788 | __text | 22050 | _important_boost_assertion_token | unknown_pointer | 
39A8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
39B0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
3AF4 | __text | 22098 | __libkernel_functions | data_pointer | data_item_size=8
3AFC | __text | 22098 | __libkernel_functions | data_pointer | data_item_size=8
3B30 | __text | 22018 | _NDR_record | struct_pointer | struct_data
3B38 | __text | 22018 | _NDR_record | struct_pointer | struct_data
3E38 | __text | 22018 | _NDR_record | struct_pointer | struct_data
3E40 | __text | 22018 | _NDR_record | struct_pointer | struct_data
4280 | __text | 22018 | _NDR_record | struct_pointer | struct_data
4288 | __text | 22018 | _NDR_record | struct_pointer | struct_data
43CC | __text | 226F8 | _mach_init.mach_init_inited | data_pointer | data_item_size=1
