# Total Pointers Found: 2222
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 2222
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
58D4 | __text | E4D8 | classRef_NSAutoreleasePool | data_pointer | data_item_size=8
58D4 | __text | E938 | _OBJC_CLASS_$_NSAutoreleasePool | unknown_pointer | 
58DC | __text | 9338 | sel_alloc | string_pointer | "alloc"
58DC | __text | E0D8 | selRef_alloc | data_pointer | data_item_size=8
58E8 | __text | 933E | sel_init | string_pointer | "init"
58E8 | __text | E0E0 | selRef_init | data_pointer | data_item_size=8
5924 | __text | 949F | sel_application:didFinishLaunchingWithOptions: | string_pointer | "application:didFinishLaunchingWithOptions:"
5924 | __text | E0E8 | selRef_application:didFinishLaunchingWithOptions: | data_pointer | data_item_size=8
592C | __text | E4C8 | protocolRef_UIApplicationDelegate | data_pointer | data_item_size=8
5938 | __text | E4C8 | protocolRef_UIApplicationDelegate | data_pointer | data_item_size=8
5938 | __text | E748 | _OBJC_PROTOCOL_$_UIApplicationDelegate | struct_pointer | struct_data
5968 | __text | 9D48 | sel_drain | string_pointer | "drain"
5968 | __text | E0F0 | selRef_drain | data_pointer | data_item_size=8
598C | __text | E4E0 | classRef_OTRHook | data_pointer | data_item_size=8
598C | __text | E698 | _OBJC_CLASS_$_OTRHook | struct_pointer | struct_data
5994 | __text | E838 | _original_uname | data_pointer | data_item_size=8
599C | __text | 9D4E | sel_OTRUname:original_uname: | string_pointer | "OTRUname:original_uname:"
599C | __text | E0F8 | selRef_OTRUname:original_uname: | data_pointer | data_item_size=8
59C0 | __text | E4E0 | classRef_OTRHook | data_pointer | data_item_size=8
59C0 | __text | E698 | _OBJC_CLASS_$_OTRHook | struct_pointer | struct_data
59C8 | __text | E840 | _original_sysctlbyname | data_pointer | data_item_size=8
59D0 | __text | 9D67 | sel_OTRsysctlbyname:out:outsize:p1:psize:original_sysctlbyname: | string_pointer | "OTRsysctlbyname:out:outsize:p1:psize:original_sysctlbyname:"
59D0 | __text | E100 | selRef_OTRsysctlbyname:out:outsize:p1:psize:original_sysctlbyname: | data_pointer | data_item_size=8
5A00 | __text | E4D8 | classRef_NSAutoreleasePool | data_pointer | data_item_size=8
5A00 | __text | E938 | _OBJC_CLASS_$_NSAutoreleasePool | unknown_pointer | 
5A08 | __text | 9338 | sel_alloc | string_pointer | "alloc"
5A08 | __text | E0D8 | selRef_alloc | data_pointer | data_item_size=8
5A14 | __text | 933E | sel_init | string_pointer | "init"
5A14 | __text | E0E0 | selRef_init | data_pointer | data_item_size=8
5A20 | __text | B7CB | aSpringboard | string_pointer | "SpringBoard"
