# Total Pointers Found: 30120
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 30120
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
50AC | __text | 600A8 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
50AC | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
50B0 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
50BC | __text | 56C49 | sel_length | string_pointer | "length"
50BC | __text | 6DBD8 | selRef_length | data_pointer | data_item_size=8
50D8 | __text | 55118 | sel_cStringUsingEncoding: | string_pointer | "cStringUsingEncoding:"
50D8 | __text | 6D350 | selRef_cStringUsingEncoding: | data_pointer | data_item_size=8
50F0 | __text | 56C50 | sel_lengthOfBytesUsingEncoding: | string_pointer | "lengthOfBytesUsingEncoding:"
50F0 | __text | 6DBE0 | selRef_lengthOfBytesUsingEncoding: | data_pointer | data_item_size=8
5138 | __text | 597A9 | a0123456789abcd | string_pointer | "0123456789ABCDEF"
51B8 | __text | 61878 | stru_61878 | struct_pointer | struct_data
51C8 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
51C8 | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
51D8 | __text | 56453 | sel_initWithBytes:length:encoding: | string_pointer | "initWithBytes:length:encoding:"
51D8 | __text | 6D990 | selRef_initWithBytes:length:encoding: | data_pointer | data_item_size=8
51F4 | __text | 600A8 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
51F4 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
51F8 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
523C | __text | 600A8 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
523C | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
5240 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
524C | __text | 56C49 | sel_length | string_pointer | "length"
524C | __text | 6DBD8 | selRef_length | data_pointer | data_item_size=8
5268 | __text | 55118 | sel_cStringUsingEncoding: | string_pointer | "cStringUsingEncoding:"
5268 | __text | 6D350 | selRef_cStringUsingEncoding: | data_pointer | data_item_size=8
5280 | __text | 56C50 | sel_lengthOfBytesUsingEncoding: | string_pointer | "lengthOfBytesUsingEncoding:"
5280 | __text | 6DBE0 | selRef_lengthOfBytesUsingEncoding: | data_pointer | data_item_size=8
52B8 | __text | 597A9 | a0123456789abcd | string_pointer | "0123456789ABCDEF"
5314 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5314 | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
5324 | __text | 56453 | sel_initWithBytes:length:encoding: | string_pointer | "initWithBytes:length:encoding:"
5324 | __text | 6D990 | selRef_initWithBytes:length:encoding: | data_pointer | data_item_size=8
533C | __text | 61878 | stru_61878 | struct_pointer | struct_data
534C | __text | 600A8 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
534C | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
5350 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
5388 | __text | 600A8 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
5388 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
538C | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
539C | __text | 53F89 | sel_UTF8String | string_pointer | "UTF8String"
539C | __text | 6D028 | selRef_UTF8String | data_pointer | data_item_size=8
53C0 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
53C0 | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
5408 | __text | 58FDF | sel_stringWithFormat: | string_pointer | "stringWithFormat:"
5408 | __text | 6E6B8 | selRef_stringWithFormat: | data_pointer | data_item_size=8
5424 | __text | 61898 | cfstr_02x02x02x02x02 | struct_pointer | struct_data
5448 | __text | 600A8 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
5448 | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
544C | __text | 79D60 | ___stack_chk_guard | data_pointer | data_item_size=8
547C | __text | 5578D | sel_dataUsingEncoding: | string_pointer | "dataUsingEncoding:"
547C | __text | 6D570 | selRef_dataUsingEncoding: | data_pointer | data_item_size=8
5498 | __text | 534EF | sel_base64EncodedStringWithOptions: | string_pointer | "base64EncodedStringWithOptions:"
5498 | __text | 6D2E0 | selRef_base64EncodedStringWithOptions: | data_pointer | data_item_size=8
54DC | __text | 6E920 | classRef_NSData | data_pointer | data_item_size=8
54DC | __text | 7A0B8 | _OBJC_CLASS_$_NSData | unknown_pointer | 
54E8 | __text | 563E3 | sel_initWithBase64EncodedString:options: | string_pointer | "initWithBase64EncodedString:options:"
54E8 | __text | 6D978 | selRef_initWithBase64EncodedString:options: | data_pointer | data_item_size=8
5500 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5500 | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
550C | __text | 5662D | sel_initWithData:encoding: | string_pointer | "initWithData:encoding:"
550C | __text | 6D9F0 | selRef_initWithData:encoding: | data_pointer | data_item_size=8
5564 | __text | 5768F | sel_rangeOfString: | string_pointer | "rangeOfString:"
5564 | __text | 6DF28 | selRef_rangeOfString: | data_pointer | data_item_size=8
5590 | __text | 56C49 | sel_length | string_pointer | "length"
5590 | __text | 6DBD8 | selRef_length | data_pointer | data_item_size=8
55A4 | __text | 5769E | sel_rangeOfString:options:range: | string_pointer | "rangeOfString:options:range:"
55A4 | __text | 6DF30 | selRef_rangeOfString:options:range: | data_pointer | data_item_size=8
55D0 | __text | 59058 | sel_substringWithRange: | string_pointer | "substringWithRange:"
55D0 | __text | 6E6F0 | selRef_substringWithRange: | data_pointer | data_item_size=8
5648 | __text | 56C49 | sel_length | string_pointer | "length"
5648 | __text | 6DBD8 | selRef_length | data_pointer | data_item_size=8
5658 | __text | 6E928 | classRef_NSDateFormatter | data_pointer | data_item_size=8
565C | __text | 6E928 | classRef_NSDateFormatter | data_pointer | data_item_size=8
565C | __text | 79B90 | _OBJC_CLASS_$_NSDateFormatter | unknown_pointer | 
5668 | __text | 563C1 | sel_init | string_pointer | "init"
5668 | __text | 6D960 | selRef_init | data_pointer | data_item_size=8
567C | __text | 58292 | sel_setDateFormat: | string_pointer | "setDateFormat:"
567C | __text | 6E250 | selRef_setDateFormat: | data_pointer | data_item_size=8
5690 | __text | 535D2 | sel_dateFromString: | string_pointer | "dateFromString:"
5690 | __text | 6D5C0 | selRef_dateFromString: | data_pointer | data_item_size=8
56AC | __text | 6E928 | classRef_NSDateFormatter | data_pointer | data_item_size=8
56AC | __text | 79B90 | _OBJC_CLASS_$_NSDateFormatter | unknown_pointer | 
56D0 | __text | 53BE0 | sel_stringFromDate: | string_pointer | "stringFromDate:"
56D0 | __text | 6E690 | selRef_stringFromDate: | data_pointer | data_item_size=8
5750 | __text | 6E928 | classRef_NSDateFormatter | data_pointer | data_item_size=8
5750 | __text | 79B90 | _OBJC_CLASS_$_NSDateFormatter | unknown_pointer | 
575C | __text | 563C1 | sel_init | string_pointer | "init"
575C | __text | 6D960 | selRef_init | data_pointer | data_item_size=8
576C | __text | 58292 | sel_setDateFormat: | string_pointer | "setDateFormat:"
576C | __text | 6E250 | selRef_setDateFormat: | data_pointer | data_item_size=8
5770 | __text | 618B8 | cfstr_DdMmmYyyyHhMmS | struct_pointer | struct_data
5780 | __text | 6E930 | classRef_NSDate | data_pointer | data_item_size=8
5780 | __text | 7A0C0 | _OBJC_CLASS_$_NSDate | unknown_pointer | 
5788 | __text | 55C7C | sel_doubleValue | string_pointer | "doubleValue"
5788 | __text | 6D760 | selRef_doubleValue | data_pointer | data_item_size=8
5798 | __text | 5588D | sel_dateWithTimeIntervalSince1970: | string_pointer | "dateWithTimeIntervalSince1970:"
5798 | __text | 6D5C8 | selRef_dateWithTimeIntervalSince1970: | data_pointer | data_item_size=8
57B4 | __text | 53BE0 | sel_stringFromDate: | string_pointer | "stringFromDate:"
57B4 | __text | 6E690 | selRef_stringFromDate: | data_pointer | data_item_size=8
5834 | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
5834 | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
58AC | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
58AC | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
5934 | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
5934 | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
59C4 | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
59C4 | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
5A40 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5A44 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5A44 | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
5A60 | __text | 56736 | sel_initWithFormat:arguments: | string_pointer | "initWithFormat:arguments:"
5A60 | __text | 6DA40 | selRef_initWithFormat:arguments: | data_pointer | data_item_size=8
5A7C | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5A7C | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
5A84 | __text | 58FDF | sel_stringWithFormat: | string_pointer | "stringWithFormat:"
5A84 | __text | 6E6B8 | selRef_stringWithFormat: | data_pointer | data_item_size=8
5A8C | __text | 618D8 | cfstr_HttpErrorI | struct_pointer | struct_data
5AAC | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5AAC | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
5AB4 | __text | 55C70 | sel_domain | string_pointer | "domain"
5AB4 | __text | 6D750 | selRef_domain | data_pointer | data_item_size=8
5ADC | __text | 56D5C | sel_localizedDescription | string_pointer | "localizedDescription"
5ADC | __text | 6DC30 | selRef_localizedDescription | data_pointer | data_item_size=8
5AF8 | __text | 58EF6 | sel_stringByReplacingOccurrencesOfString:withString: | string_pointer | "stringByReplacingOccurrencesOfString:withString:"
5AF8 | __text | 6E680 | selRef_stringByReplacingOccurrencesOfString:withString: | data_pointer | data_item_size=8
5AFC | __text | 61938 | stru_61938 | struct_pointer | struct_data
5B04 | __text | 61958 | cfstr_Quot | struct_pointer | struct_data
5B24 | __text | 5529E | sel_code | string_pointer | "code"
5B24 | __text | 6D408 | selRef_code | data_pointer | data_item_size=8
5B38 | __text | 618F8 | cfstr_Li | struct_pointer | struct_data
5B5C | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5B88 | __text | 58EF6 | sel_stringByReplacingOccurrencesOfString:withString: | string_pointer | "stringByReplacingOccurrencesOfString:withString:"
5B88 | __text | 6E680 | selRef_stringByReplacingOccurrencesOfString:withString: | data_pointer | data_item_size=8
5B8C | __text | 61878 | stru_61878 | struct_pointer | struct_data
5B94 | __text | 6E918 | classRef_NSString | data_pointer | data_item_size=8
5B94 | __text | 79BE8 | _OBJC_CLASS_$_NSString | unknown_pointer | 
5B98 | __text | 61938 | stru_61938 | struct_pointer | struct_data
5BA0 | __text | 61958 | cfstr_Quot | struct_pointer | struct_data
5BC8 | __text | 61918 | cfstr_DoctypeHtmlHtm | struct_pointer | struct_data
5BF4 | __text | 5675F | sel_initWithHTML: | string_pointer | "initWithHTML:"
5BF4 | __text | 6DA50 | selRef_initWithHTML: | data_pointer | data_item_size=8
5C10 | __text | 586BF | sel_setStatusCode: | string_pointer | "setStatusCode:"
5C10 | __text | 6E420 | selRef_setStatusCode: | data_pointer | data_item_size=8
5C88 | __text | 56936 | sel_initWithStatusCode:underlyingError:messageFormat:arguments: | string_pointer | "initWithStatusCode:underlyingError:messageFormat:arguments:"
5C88 | __text | 6DAC8 | selRef_initWithStatusCode:underlyingError:messageFormat:arguments: | data_pointer | data_item_size=8
