# Total Pointers Found: 2313
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 2313
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
5D24 | __text | 10B50 | dword_10B50 | data_pointer | data_item_size=4
5D2C | __text | 10B54 | dword_10B54 | data_pointer | data_item_size=4
5D68 | __text | 11FB0 | off_11FB0 | data_pointer | data_item_size=8
5D88 | __text | 5D90 | loc_5D90 | code_pointer | inside_sub_5D7C
5D88 | __text | 11150 | off_11150 | data_pointer | data_item_size=8
5D94 | __text | 10B58 | dword_10B58 | data_pointer | data_item_size=4
5D9C | __text | 10B5C | dword_10B5C | data_pointer | data_item_size=4
5DE4 | __text | 11FC0 | off_11FC0 | data_pointer | data_item_size=8
5DFC | __text | FE84 | sel_rangeOfString: | string_pointer | "rangeOfString:"
5DFC | __text | 10168 | selRef_rangeOfString: | data_pointer | data_item_size=8
5E04 | __text | 10030 | _objc_msgSend_ptr | data_pointer | data_item_size=8
5E04 | __text | 12F78 | __imp__objc_msgSend | import_pointer | import_entry
5E24 | __text | 5E3C | loc_5E3C | code_pointer | inside_sub_5E30
5E24 | __text | 11FD8 | off_11FD8 | data_pointer | data_item_size=8
5E34 | __text | 5E3C | loc_5E3C | code_pointer | inside_sub_5E30
5E34 | __text | 11168 | off_11168 | data_pointer | data_item_size=8
5E40 | __text | 10B68 | dword_10B68 | data_pointer | data_item_size=4
5E48 | __text | 10B6C | dword_10B6C | data_pointer | data_item_size=4
5E7C | __text | 11FE0 | off_11FE0 | data_pointer | data_item_size=8
5E9C | __text | 11FF0 | off_11FF0 | data_pointer | data_item_size=8
5EB8 | __text | 10B70 | dword_10B70 | data_pointer | data_item_size=4
5EC0 | __text | 10B74 | dword_10B74 | data_pointer | data_item_size=4
5EE4 | __text | 12000 | off_12000 | data_pointer | data_item_size=8
5F04 | __text | FECF | sel_substringWithRange: | string_pointer | "substringWithRange:"
5F04 | __text | 10178 | selRef_substringWithRange: | data_pointer | data_item_size=8
5F0C | __text | 10030 | _objc_msgSend_ptr | data_pointer | data_item_size=8
5F0C | __text | 12F78 | __imp__objc_msgSend | import_pointer | import_entry
5F2C | __text | 10BB0 | dword_10BB0 | data_pointer | data_item_size=4
5F34 | __text | 10BB4 | dword_10BB4 | data_pointer | data_item_size=4
5F64 | __text | 12090 | off_12090 | data_pointer | data_item_size=8
5F7C | __text | 5F84 | loc_5F84 | code_pointer | inside_sub_5EF8
5F7C | __text | 111F8 | off_111F8 | data_pointer | data_item_size=8
5F88 | __text | 10BB8 | dword_10BB8 | data_pointer | data_item_size=4
5F90 | __text | 10BBC | dword_10BBC | data_pointer | data_item_size=4
5FC0 | __text | 120A0 | off_120A0 | data_pointer | data_item_size=8
5FD8 | __text | 60A8 | loc_60A8 | code_pointer | inside_sub_5EF8
5FD8 | __text | 11208 | off_11208 | data_pointer | data_item_size=8
5FE8 | __text | 10BA0 | dword_10BA0 | data_pointer | data_item_size=4
5FF0 | __text | 10BA4 | dword_10BA4 | data_pointer | data_item_size=4
602C | __text | 12070 | off_12070 | data_pointer | data_item_size=8
6044 | __text | 604C | loc_604C | code_pointer | inside_sub_5EF8
6044 | __text | 111C8 | off_111C8 | data_pointer | data_item_size=8
6050 | __text | 10BA8 | dword_10BA8 | data_pointer | data_item_size=4
6058 | __text | 10BAC | dword_10BAC | data_pointer | data_item_size=4
6094 | __text | 12080 | off_12080 | data_pointer | data_item_size=8
60AC | __text | 10BC0 | dword_10BC0 | data_pointer | data_item_size=4
60B4 | __text | 10BC4 | dword_10BC4 | data_pointer | data_item_size=4
60E8 | __text | 120B0 | off_120B0 | data_pointer | data_item_size=8
6110 | __text | 6118 | loc_6118 | code_pointer | inside_sub_5EF8
6110 | __text | 11210 | off_11210 | data_pointer | data_item_size=8
611C | __text | 10BC8 | dword_10BC8 | data_pointer | data_item_size=4
6124 | __text | 10BCC | dword_10BCC | data_pointer | data_item_size=4
6168 | __text | 120C0 | off_120C0 | data_pointer | data_item_size=8
6198 | __text | 61A0 | loc_61A0 | code_pointer | inside_sub_5EF8
6198 | __text | 111B0 | off_111B0 | data_pointer | data_item_size=8
61A4 | __text | 10B98 | dword_10B98 | data_pointer | data_item_size=4
61AC | __text | 10B9C | dword_10B9C | data_pointer | data_item_size=4
61E8 | __text | 12050 | off_12050 | data_pointer | data_item_size=8
6208 | __text | 12060 | off_12060 | data_pointer | data_item_size=8
6224 | __text | 622C | loc_622C | code_pointer | inside_sub_5EF8
6224 | __text | 11180 | off_11180 | data_pointer | data_item_size=8
6230 | __text | 10B78 | dword_10B78 | data_pointer | data_item_size=4
6238 | __text | 10B7C | dword_10B7C | data_pointer | data_item_size=4
625C | __text | 12010 | off_12010 | data_pointer | data_item_size=8
6274 | __text | FE64 | sel_length | string_pointer | "length"
6274 | __text | 10150 | selRef_length | data_pointer | data_item_size=8
627C | __text | 10030 | _objc_msgSend_ptr | data_pointer | data_item_size=8
627C | __text | 12F78 | __imp__objc_msgSend | import_pointer | import_entry
6294 | __text | 10B80 | dword_10B80 | data_pointer | data_item_size=4
629C | __text | 10B84 | dword_10B84 | data_pointer | data_item_size=4
62C0 | __text | 12020 | off_12020 | data_pointer | data_item_size=8
62DC | __text | 62E4 | loc_62E4 | code_pointer | inside_sub_5EF8
62DC | __text | 11198 | off_11198 | data_pointer | data_item_size=8
62EC | __text | 62F8 | loc_62F8 | code_pointer | inside_sub_5EF8
62EC | __text | 12038 | off_12038 | data_pointer | data_item_size=8
6300 | __text | FE93 | sel_rangeOfString:options:range: | string_pointer | "rangeOfString:options:range:"
6300 | __text | 10170 | selRef_rangeOfString:options:range: | data_pointer | data_item_size=8
6308 | __text | 10030 | _objc_msgSend_ptr | data_pointer | data_item_size=8
6308 | __text | 12F78 | __imp__objc_msgSend | import_pointer | import_entry
6328 | __text | 10B90 | dword_10B90 | data_pointer | data_item_size=4
6330 | __text | 10B94 | dword_10B94 | data_pointer | data_item_size=4
6354 | __text | 12040 | off_12040 | data_pointer | data_item_size=8
6370 | __text | 636C | loc_636C | code_pointer | inside_sub_5EF8
6370 | __text | 11220 | off_11220 | data_pointer | data_item_size=8
63A0 | __text | 12EF4 | dword_12EF4 | data_pointer | data_item_size=4
63A8 | __text | 12EF4 | dword_12EF4 | data_pointer | data_item_size=4
63B4 | __text | 120D0 | off_120D0 | data_pointer | data_item_size=8
