# Total Pointers Found: 184105
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 184105
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
100005498 | __text | 1001EBD70 | off_1001EBD70 | data_pointer | data_item_size=8
1000054A0 | __text | 1001EF628 | off_1001EF628 | data_pointer | data_item_size=8
1000054A8 | __text | 1001EF638 | off_1001EF638 | data_pointer | data_item_size=8
1000054B8 | __text | 1001EF648 | off_1001EF648 | data_pointer | data_item_size=8
1000054C0 | __text | 1000054C0 | loc_1000054C0 | code_pointer | inside_sub_100005450
1000054C0 | __text | 1001EBD70 | off_1001EBD70 | data_pointer | data_item_size=8
1000054CC | __text | 1000054D4 | loc_1000054D4 | code_pointer | inside_sub_100005450
1000054CC | __text | 1001EBD78 | off_1001EBD78 | data_pointer | data_item_size=8
100005544 | __text | 1001E99F8 | selRef_initWithSettings:password:handler: | data_pointer | data_item_size=8
100005548 | __text | 1001E6DC8 | sel_initWithSettings:password:handler: | string_pointer | "initWithSettings:password:handler:"
100005548 | __text | 1001E99F8 | selRef_initWithSettings:password:handler: | data_pointer | data_item_size=8
10000559C | __text | 1001E8680 | stru_1001E8680 | struct_pointer | struct_data
1000055C0 | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
1000055C4 | __text | 1001E62A1 | sel_a7qSOe7f:data:error: | string_pointer | "a7qSOe7f:data:error:"
1000055C4 | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
100005658 | __text | 1001EB5BC | dword_1001EB5BC | data_pointer | data_item_size=4
10000565C | __text | 1001EB5BC | dword_1001EB5BC | data_pointer | data_item_size=4
100005660 | __text | 1001EB5C0 | dword_1001EB5C0 | data_pointer | data_item_size=4
100005664 | __text | 1001EB5C0 | dword_1001EB5C0 | data_pointer | data_item_size=4
100005694 | __text | 1001EBDB8 | off_1001EBDB8 | data_pointer | data_item_size=8
10000569C | __text | 1001EF658 | off_1001EF658 | data_pointer | data_item_size=8
1000056B0 | __text | 1001EF6B8 | off_1001EF6B8 | data_pointer | data_item_size=8
1000056B8 | __text | 1000056B8 | loc_1000056B8 | code_pointer | inside_sub_100005618
1000056B8 | __text | 1001EBDB8 | off_1001EBDB8 | data_pointer | data_item_size=8
1000056C4 | __text | 1000056CC | loc_1000056CC | code_pointer | inside_sub_100005618
1000056C4 | __text | 1001EBDC0 | off_1001EBDC0 | data_pointer | data_item_size=8
1000056E8 | __text | 1001EF668 | off_1001EF668 | data_pointer | data_item_size=8
100005704 | __text | 1001EF678 | off_1001EF678 | data_pointer | data_item_size=8
100005720 | __text | 1001EF688 | off_1001EF688 | data_pointer | data_item_size=8
100005734 | __text | 1001EB5C4 | dword_1001EB5C4 | data_pointer | data_item_size=4
100005738 | __text | 1001EB5C4 | dword_1001EB5C4 | data_pointer | data_item_size=4
10000573C | __text | 1001EB5C8 | dword_1001EB5C8 | data_pointer | data_item_size=4
100005740 | __text | 1001EB5C8 | dword_1001EB5C8 | data_pointer | data_item_size=4
1000057AC | __text | 1001EF6C8 | off_1001EF6C8 | data_pointer | data_item_size=8
1000057C8 | __text | 1001EF6D8 | off_1001EF6D8 | data_pointer | data_item_size=8
1000057F8 | __text | 1001EF6A8 | off_1001EF6A8 | data_pointer | data_item_size=8
10000583C | __text | 1001EF6F8 | off_1001EF6F8 | data_pointer | data_item_size=8
10000586C | __text | 1001EF698 | off_1001EF698 | data_pointer | data_item_size=8
100005888 | __text | 1001EF6E8 | off_1001EF6E8 | data_pointer | data_item_size=8
100005914 | __text | 1001EB5CC | dword_1001EB5CC | data_pointer | data_item_size=4
100005918 | __text | 1001EB5CC | dword_1001EB5CC | data_pointer | data_item_size=4
10000591C | __text | 1001EB5D0 | dword_1001EB5D0 | data_pointer | data_item_size=4
100005920 | __text | 1001EB5D0 | dword_1001EB5D0 | data_pointer | data_item_size=4
100005924 | __text | 1001EBE60 | off_1001EBE60 | data_pointer | data_item_size=8
10000592C | __text | 1001EF708 | off_1001EF708 | data_pointer | data_item_size=8
100005938 | __text | 1001EF718 | off_1001EF718 | data_pointer | data_item_size=8
1000059AC | __text | 1000059AC | loc_1000059AC | code_pointer | inside_sub_1000058E4
1000059AC | __text | 1001EBE60 | off_1001EBE60 | data_pointer | data_item_size=8
1000059B8 | __text | 1000059C0 | loc_1000059C0 | code_pointer | inside_sub_1000058E4
1000059B8 | __text | 1001EBE68 | off_1001EBE68 | data_pointer | data_item_size=8
1000059F8 | __text | 1001EF728 | off_1001EF728 | data_pointer | data_item_size=8
100005A1C | __text | 1001EF738 | off_1001EF738 | data_pointer | data_item_size=8
100005A38 | __text | 1001EF748 | off_1001EF748 | data_pointer | data_item_size=8
100005A6C | __text | 1001EF7C8 | off_1001EF7C8 | data_pointer | data_item_size=8
100005A88 | __text | 1001EF7D8 | off_1001EF7D8 | data_pointer | data_item_size=8
100005AAC | __text | 1001EF7E8 | off_1001EF7E8 | data_pointer | data_item_size=8
100005AC8 | __text | 1001EF7F8 | off_1001EF7F8 | data_pointer | data_item_size=8
100005AE4 | __text | 1001EB5EC | dword_1001EB5EC | data_pointer | data_item_size=4
